Vertex1,Vertex2,Color1,Color2
EBAKR,29T7Z,green,blue
6X3TF,E0I9F,red,blue
ZK44L,5SH3V,red,green
O4RP1,FZPMI,blue,blue
LDU7F,2ZV6W,blue,green
B4IF8,ETZU0,blue,green
7386C,2CZZ6,green,green
JZ8U0,TPDPS,green,red
4QZJB,HK99G,blue,red
GSOWC,D5LWY,blue,green
FF32X,7HIYA,blue,green
JUQPG,2UGYZ,blue,blue
58LAT,14BWK,green,green
UXOQ4,ZUH32,green,green
HSOOO,WEP3W,green,green
261PO,T9RTB,red,green
1J9YF,BNT5L,blue,green
RTH2Y,1U9HK,red,green
TVQOC,AON59,green,green
3YGHQ,Q46S2,blue,blue
6PQRL,T5YAR,blue,red
6ALQ8,UG4R0,green,green
ADLTN,1CIPK,red,red
9UYBE,T7TKS,red,red
9Z1RL,7I9N1,blue,blue
H3IOL,YNALB,green,red
1LZXI,9RC2Y,green,red
BHABZ,HR6IT,red,red
MPJC9,VJOMK,red,blue
8RLVC,ZRLP7,red,green
GJP2Z,0BE3Q,blue,blue
G7SJA,7I9N1,blue,red
OEXHO,5OFQ8,blue,green
OUB2L,GBBE4,blue,red
458OM,13KHW,red,blue
6JZAR,TPDPS,blue,red
TUB95,BD5AS,green,blue
R7M6P,CIAV6,green,blue
GIJFB,08KC5,green,blue
P5MKY,3YGHQ,green,green
EBSW0,SPKFS,red,blue
SYCL1,DB1CK,red,blue
QIPV9,G89V5,blue,blue
2TFGW,5R9W8,red,red
CUBF4,NY1XK,red,red
4RS41,0OW1H,green,blue
UM75W,XJ8GV,blue,blue
SXGHY,CXGE8,red,blue
9WBUE,Z9ATV,green,green
JGR33,JZYXZ,green,green
CIAV6,LW3QV,red,green
MNBK5,CIAV6,red,red
GF6KO,B45P3,blue,blue
EBAKR,1X23I,green,red
TNWAH,TVP5I,green,green
HOYWL,ACD94,green,blue
IL210,4VKA8,blue,red
Y7WP0,93OKD,blue,red
2PH58,0PQ1V,red,green
B45P3,78GXV,red,red
SAZIF,I9LIN,blue,blue
HCITG,STC9O,red,green
9Z1RL,5OFQ8,green,blue
DANSD,AQTI1,blue,green
VZ9K4,QB3US,red,red
U81KC,5R9W8,red,red
Q55UQ,8AUBU,red,green
I0822,QQB30,blue,green
TX9YB,HFI1S,blue,blue
VQQJZ,PPQU2,green,blue
T5YAR,TNNNC,red,blue
F834S,PZ2PW,blue,blue
HHDG5,UBGGP,red,blue
81Y5B,FJFGJ,green,red
FJFGJ,JGR33,red,red
HZ9MN,H2BUK,red,red
Z9VY0,M8AMZ,red,blue
45020,FYWQX,red,red
JZ8U0,E6RRQ,green,blue
ZHKVE,UHZ81,green,blue
G8HQG,2UGYZ,green,green
VFN8X,GTEKY,red,red
OEXHO,QQB30,green,blue
HK99G,0OW1H,blue,green
5KQ33,Q50LR,blue,green
2ZIYM,9RYVL,red,green
F83IQ,VQMB8,blue,green
EBJPP,Y45K6,blue,blue
WUGEM,NLE82,red,green
NBRBM,SBAA4,blue,blue
08NKJ,6BEXO,red,blue
668M7,7KPBM,green,red
3FABK,8AUBU,red,green
P99SW,ZG1MT,blue,blue
EI54H,LYPHQ,blue,red
PYHV8,FA765,green,blue
TPDPS,R6F6H,green,red
XHQ7J,8TQ7L,red,blue
EBJPP,50IBQ,blue,blue
NX6IS,UXOQ4,green,red
UTTFN,6RC7E,blue,blue
TVCVK,T5YAR,red,red
E2NP9,8NQAS,red,red
9YNW9,8SO5Z,red,green
T6CJX,2ETET,blue,blue
JGR33,OWIL3,red,red
X82DQ,D4VGA,blue,green
Y7WP0,053M8,blue,blue
4F8J5,7ARL1,red,blue
4RITS,SDUCZ,red,blue
4ZE4T,H7INM,red,green
3FABK,5E9F4,green,blue
2TFGW,ACEBZ,green,red
C0A83,3RJ6U,blue,red
SGORL,0NNHS,blue,green
4RITS,13KHW,blue,green
VFLPK,ICEVN,green,red
NZI2D,DW5MJ,blue,green
5LDPF,R7M6P,red,blue
8IC4M,FJVAM,green,red
Y6E8U,HFI1S,blue,blue
L9KTE,ZR6FE,red,green
U0T3R,7L4N7,blue,blue
RZ81Y,591SU,red,blue
GK2R7,G2VZ2,red,green
A9D59,MWWIZ,blue,green
OYJ9Q,JZF3M,green,red
TNWAH,8S0Y5,green,blue
BHXS4,JUQPG,green,green
FFRQC,HAQRL,blue,red
8XKBN,OEXHO,green,blue
X4VHI,O7E9H,blue,green
8TWXR,O7E9H,red,green
3RJ6U,4FVGC,blue,blue
QK1KY,Q6YHQ,green,blue
I9LIN,IWUTO,blue,green
I9LIN,A0ZLT,red,green
WS2R3,HIXT3,green,blue
CI7JY,E0I9F,red,green
UVKYN,SPKFS,blue,blue
5MMY6,7BMH8,red,green
RZGG2,3RJ6U,red,red
QO918,LBVHO,red,green
NECSE,4VKA8,green,blue
J8K06,W4ATV,green,green
IX66B,CDOS5,blue,green
T7TKS,BNTMC,red,green
1YS29,65DNU,blue,blue
Z9ATV,6PQRL,red,blue
1XVCU,U2UMM,green,blue
RXPHO,94CZM,red,red
HCS0S,MZ6V5,green,blue
CI7JY,SWTMO,green,green
FJIZE,QIPV9,blue,blue
M6H57,JLMZR,green,red
MF23U,GHLUB,green,red
T35D2,YTUWC,blue,blue
FMJIU,QPOVG,blue,blue
U26CB,5LDPF,red,blue
DUBO2,HUYSR,green,green
O2SV0,885V2,green,blue
SHRY2,BMSRG,red,blue
SGORL,ZUH32,red,blue
GK2R7,DBJAC,green,green
LD5WR,YRLLE,red,green
1TZFX,LBVHO,blue,green
LQQWJ,U2R3W,blue,green
382I1,KTYE7,green,green
H3IOL,KQA4E,blue,red
WMQ5G,UD93F,red,red
YTUWC,ZK44L,blue,blue
2GND7,USPVZ,red,red
1KVGA,YKLD6,green,red
5F4TY,UPSI5,blue,red
7BMH8,FJVAM,green,green
60LS1,EI54H,red,blue
GK2R7,QO918,red,blue
7I6QF,9Z1RL,blue,red
EA5EV,9I7R1,red,green
MH391,3H4QS,green,green
ZZQOZ,JZF3M,green,blue
K7XEQ,4QZJB,blue,blue
U3VP9,ULYCS,blue,blue
668M7,R1JH5,blue,blue
KVKJP,QO918,red,red
P5YE1,2ZV6W,green,blue
O2TIT,V4ZBV,green,green
U26CB,4P4M4,green,green
SYCL1,STC9O,red,green
MQAVN,B6HM5,green,green
PPQU2,OY1UK,green,red
WEP3W,CBQ0W,red,blue
AGOZZ,YH8DB,red,green
ZR6FE,B4IF8,blue,blue
CYOSC,X4LY7,green,blue
591SU,GXBYM,blue,blue
3YGHQ,1DGE4,blue,red
QKAYH,UK769,blue,blue
5Q3W0,65H0H,red,red
UUQ5V,MF23U,green,blue
IP13G,FYWQX,green,green
7LHW8,NECSE,blue,blue
869QV,2ZIYM,blue,green
P5H9O,69023,blue,green
G7SJA,I7JCV,blue,red
JVMPP,5R9W8,red,red
CZOL9,V05JZ,blue,green
WL8G1,MT023,red,red
6JZAR,IPLBI,red,red
ZHKVE,QULXT,blue,green
P5MKY,F5AJO,green,green
9WBUE,EA5EV,green,red
DWSJP,D4VGA,red,green
OJ50M,9GLJN,blue,green
8NJCH,9DY3I,red,red
7LHW8,BD5AS,green,red
UD42W,TX9YB,blue,blue
VFN8X,2N10E,green,blue
KDLRJ,P99SW,blue,green
FGQ8J,B6HM5,blue,red
LCPB3,0JK41,blue,red
BDDE6,OYJ9Q,green,red
K9FQP,P5H9O,blue,red
TSWLN,CS5BZ,green,red
8TQMV,QIPV9,green,green
ICEVN,SRQ66,green,green
12KJ3,7GMMP,red,green
6ALQ8,RJMT7,red,blue
TNB22,JVMPP,green,red
58LAT,RXPHO,blue,red
URWZ0,CVZHS,green,blue
LQU1E,1NOUK,red,red
G3BPC,4UQ24,green,green
ZG1MT,8TWXR,blue,blue
HOYWL,E1B4Z,green,blue
EM6X2,IG1YA,blue,red
6DPQU,A713J,blue,red
ENOMT,GXBGA,blue,blue
0MUJX,LHLWN,green,blue
8XKBN,C8Z0Z,red,blue
31ETL,2ETET,green,red
9WBUE,RZGG2,green,red
UD42W,FJVAM,green,blue
JGR33,5KQ33,red,blue
GV88P,HY4U1,blue,blue
ACD94,P4VAJ,green,red
QULXT,ZHKVE,blue,red
MF28A,IA6NS,red,blue
3RJ6U,G7SJA,red,green
HHDG5,E3VR0,blue,blue
H6XY1,3H5IP,blue,red
5D0BD,1KW1S,red,green
JOBTU,29BMZ,blue,blue
W4ATV,T0BO1,red,blue
QIG7I,GK2R7,blue,red
1NOUK,YKLD6,red,blue
E0I9F,XAOUW,red,green
5KQEJ,9K7IK,red,red
ZTPEJ,ZTSQY,blue,red
VIMY8,9RC2Y,red,red
487C7,95TRY,green,red
89PG4,68KDQ,red,green
59R0M,UI19F,red,red
E2NP9,IBEPX,green,blue
1J5IR,5MMY6,green,green
P4VAJ,1ZK9D,green,green
BDE5C,RXPHO,red,red
QZ8WS,7WJYZ,blue,green
4ZE4T,1J9YF,blue,green
CZOL9,869QV,blue,green
LD5WR,7HQPC,green,green
VZS3Q,I3UOU,blue,red
E0I9F,R1JH5,blue,blue
D5LWY,P5H9O,green,blue
1DGE4,JBYFQ,red,green
KDLRJ,MWWIZ,green,red
LX8YS,129H8,green,blue
58MXZ,OV6Q4,blue,green
N6OSY,VSLS8,red,red
HYJP3,SBAA4,red,green
M5D88,WMQ5G,blue,green
DQF3Y,CGTHJ,green,blue
435S1,5ESWV,red,red
ZTPEJ,W5Z7J,red,blue
012KO,U2P5F,red,red
7ARL1,UUQ5V,blue,blue
O4RP1,2WIVF,green,blue
08KC5,1BG8G,green,blue
CDOS5,LSYOZ,red,green
ZK44L,EX6D7,blue,blue
VZ9K4,QO918,green,blue
BJ9CO,6L9KH,green,red
OUB2L,DW5MJ,green,green
JR9PX,MF23U,blue,blue
VY1JU,9RYVL,red,green
6ALQ8,LQQWJ,red,red
VJOMK,1NOUK,blue,green
QIOXN,I2K5M,green,green
2HDJA,5BG87,green,red
2HDJA,MRQ26,green,red
3H5PG,QIOXN,blue,blue
JBYFQ,1NOUK,green,green
L8OMN,S99XZ,blue,red
PTBST,P38VP,green,blue
HYJP3,G2VZ2,green,green
OZUXL,0ETWX,red,blue
MA86Q,6PQRL,green,red
7KPBM,VIIYS,blue,blue
ACEBZ,RMS3X,green,blue
KVKJG,CM9IK,blue,green
8ALZW,1TPG3,red,red
QHDLK,RN6YE,blue,green
BNT5L,PUDE6,blue,blue
LCPB3,8AUBU,red,blue
MHUJK,2HDJA,red,red
7R1BZ,69023,green,green
U8OEF,M6H57,blue,blue
HLS1N,2ETET,green,blue
HHDG5,FA765,blue,red
TF7B3,OEXHO,blue,green
ZR6FE,EM6X2,green,blue
FJIZE,G0X6P,green,red
GDH3B,APVFH,blue,blue
UPSI5,MF28A,red,blue
MHUJK,PQUYZ,red,blue
GXBGA,M8AMZ,red,red
XHIY2,IN38O,red,red
V3WWX,ROGON,blue,green
D81WE,FJNO4,blue,red
77EKN,PUDE6,red,red
95261,FMJIU,green,green
GUFW9,3H5PG,red,red
IN38O,MNBK5,blue,red
7R1BZ,5D0BD,blue,blue
GHLUB,E0I9F,green,green
SBLF3,DDX2W,blue,red
RNA90,4RS41,blue,red
TKJUR,8312J,green,blue
1LZXI,G7SJA,blue,red
I2K5M,UB6SB,blue,blue
6X0IF,YKSKE,blue,green
2WIVF,GPNCP,green,green
HYJP3,3IG71,green,green
VZ9K4,ACD94,red,blue
GTEKY,TZ4GS,red,blue
CT6Y6,EX4N8,red,green
Q06GD,5MMY6,green,green
OWIL3,AYH5F,green,red
R0YP2,79EN1,blue,blue
ZXZK2,QF2KG,red,red
F989P,U2O9D,blue,red
IG1YA,6X6QR,red,green
9K7IK,MRQ26,red,red
HLS1N,95261,blue,red
JWEJC,U2R3W,blue,green
ZK44L,IPVRT,red,red
IA9NO,DIZBA,blue,blue
U269Y,WNE53,red,blue
F7FTL,X25PS,blue,red
T0JC3,59R0M,green,blue
T9ALU,MQAVN,green,red
FYWQX,IX66B,red,red
2CL3G,XAOUW,blue,green
HHDG5,MRQ26,green,green
U0T3R,7FA80,blue,blue
HAXAZ,ENOMT,red,blue
7L4N7,4ZE4T,blue,red
DWSJP,B45P3,red,blue
JLLBD,D50SO,red,green
MDEBL,Z4WZE,red,blue
SXGHY,5TC3H,green,blue
ZJB2A,IA6NS,blue,green
T9YXS,UCFUW,blue,red
B1Q6K,9I7R1,red,green
IN38O,S7U4A,green,red
PZ2PW,6WC6X,blue,blue
JZ8U0,240D9,green,green
U269Y,CGTHJ,red,green
PRVWI,8NJCH,green,green
BDE5C,ZDMBU,green,green
4F8J5,WD7E6,green,blue
CZBX1,9JODI,red,blue
QF2KG,TVCVK,green,green
IN38O,3EJX4,blue,blue
J7FBX,YCLMK,blue,red
NY1XK,7YGZC,blue,red
Y6XM9,YKLD6,blue,blue
HCS0S,D6NP6,green,red
PW7P4,T6CJX,blue,blue
ZTPEJ,PZ2PW,red,red
GW76F,HYJP3,green,blue
B6T28,1JFAT,red,blue
IL210,D50SO,blue,red
GBBE4,GPNCP,green,green
1XVCU,HYJP3,blue,blue
O2SV0,ZLXNY,green,green
0PQCE,GXBGA,blue,red
HFZ09,EITEV,green,red
RERMN,P6UWK,green,green
YWQBI,8TWXR,blue,blue
C0A83,YH8DB,blue,green
0VLNR,G44JF,green,red
9RYVL,8IC4M,blue,red
L0GUU,NR93Z,green,green
89PG4,2594I,green,blue
3FABK,H35NM,blue,green
J2OYQ,QORDP,red,blue
KVKJP,ETZU0,green,green
ZTSQY,F0CQJ,blue,blue
P99SW,JQ31B,green,green
LX8YS,T9ECC,red,green
UK2C1,OXZY3,red,green
GWYS3,U8MTM,blue,red
3800R,63TIL,blue,green
LBVHO,V3WWX,red,blue
024RU,QL9EH,green,green
5BG87,ZTSQY,blue,green
SC1RQ,4Q9LK,green,red
RZGG2,B3SXM,red,red
AVYMA,RZUKL,green,red
6F92J,WMQ5G,blue,red
Z5ONJ,LBVHO,blue,green
4Q9LK,Z9ATV,red,blue
NYN5I,3H4QS,blue,blue
Q50LR,GUHKN,green,blue
R0YP2,SCPD1,green,green
23NKK,6X3TF,red,green
3FABK,SRQ66,blue,green
MPJC9,SCPD1,red,red
MT023,U2R3W,blue,red
B1Q6K,5OFQ8,blue,red
X43SQ,SR4CW,blue,blue
U81KC,6WC6X,green,green
59R0M,W4MRN,blue,blue
QXFUA,3800R,blue,blue
BHABZ,QULXT,blue,blue
0RD2P,WLWN0,green,green
1E8CL,HTPRR,blue,blue
USPVZ,P4VAJ,red,red
ZY7M8,ZXZK2,blue,red
RRIZU,N7XBN,red,red
1D0DP,IN38O,red,blue
UK769,QCMCD,blue,green
421TT,GBBE4,red,green
I7JCV,1NN46,blue,green
U8OEF,VO2EW,blue,green
IX66B,7XHXX,blue,red
2CL3G,U0T3R,blue,green
RILWN,2N10E,red,green
UBGGP,FJNO4,green,blue
E2NP9,TVCVK,red,red
IWUTO,CLK79,red,green
R0YP2,VFN8X,red,green
78GXV,47328,green,green
FA765,N6OSY,red,green
SDUCZ,KUVKE,red,blue
G3BPC,0J8TC,blue,red
DZ1NO,RUPOG,red,red
NTPZC,NW9MK,blue,red
0OW1H,YN466,red,red
HI6UQ,OYJ9Q,green,blue
HML9W,1CZ0U,green,blue
SDUCZ,A3MKK,blue,blue
H6XY1,EZP7K,green,blue
XIZ3Z,JVMPP,green,red
CI4I3,PZYX9,red,green
95TRY,AQTI1,green,green
NA0OJ,ACD94,green,red
SRQ66,D928C,green,green
A713J,7FA80,red,blue
XWPUP,OWIL3,green,red
MWWIZ,A8ZK0,blue,blue
XP6I4,9Q8T3,blue,green
RMS3X,4PXGE,red,blue
NCPB6,2WIVF,green,green
PCDJ2,8EYU2,green,green
EBSW0,MHUJK,blue,red
6O3BA,FJK8C,red,blue
EMQYG,K64N9,green,green
6RC7E,J26IB,green,blue
9RYVL,PRVWI,green,red
TVQOC,6L9KH,red,green
UM75W,5VBDJ,red,green
J7FBX,UPSI5,red,green
1B3X5,RVIYT,green,red
7R1BZ,8A4NB,blue,red
ADLTN,SCPD1,red,red
F46WG,1J5IR,blue,green
ZEOKC,4ZE4T,red,red
CI4I3,ICEVN,green,blue
47328,ZJB2A,blue,red
6X3TF,TZXWR,green,blue
DQF3Y,5E9F4,red,green
9VW4W,SWTMO,red,green
DQF3Y,4FRD4,blue,blue
BX7HE,EKI8S,blue,blue
59T6W,I3UOU,blue,red
SJSTG,5MMY6,blue,blue
HCS0S,V9KW7,red,red
9Z1RL,MPJC9,red,green
WD7E6,OXEV0,red,green
QO918,X4VHI,red,green
3AUHG,JOBTU,blue,red
ULYCS,DIZBA,blue,blue
FFML4,XIX95,red,green
XHIY2,H35NM,green,red
XAOUW,REH01,green,red
LYPHQ,2ZV6W,green,blue
3YGHQ,1TPG3,green,green
JZF3M,YQRQN,green,blue
9RYVL,YRLLE,red,green
G1BAN,E1B4Z,blue,green
JOBTU,UPDB4,green,green
A9D59,NJD6X,green,green
C1NHB,PVP6H,red,green
SXGHY,YG72D,green,red
FLE9Q,8TQ7L,blue,blue
7I9N1,2PH58,green,green
IRTGL,CHFTC,green,green
TZXWR,FYWQX,red,blue
ACEBZ,EI54H,blue,blue
D6NP6,ETZU0,green,blue
U9MYY,8XKBN,red,blue
QORDP,IPLBI,blue,red
B1Q6K,HFZ09,blue,green
XWPUP,KYYP4,blue,blue
G44JF,ACD94,red,green
NHSFA,UCV8I,blue,red
LQXMH,I3UOU,blue,green
EFL8F,W5Z7J,green,blue
NM9F5,LCPB3,blue,blue
DDX2W,WM6RC,red,red
CM9IK,AON59,green,blue
LBVHO,LW3QV,green,green
U2UMM,MA86Q,red,red
H6XY1,DNQZA,blue,green
U5IQK,7LHW8,blue,green
4VKA8,3H5PG,green,red
T35D2,BK99V,blue,green
3H5PG,EE54R,green,red
OXEV0,MRQ26,blue,red
3FABK,LC4JU,red,blue
VFLPK,OWIL3,red,green
17GPA,FA765,red,blue
WGRB5,OF1N6,green,green
LY9E1,ZFF48,green,blue
47PML,HZ9MN,green,red
SCPD1,KVKJG,red,red
8S0Y5,0RD2P,blue,red
FJNO4,2GBYA,red,green
SCPD1,FJNO4,green,blue
6ALQ8,U2R3W,green,red
IBEPX,MRQ26,green,blue
08NKJ,QB3US,red,green
08KC5,2UGYZ,blue,green
E2NP9,1I6FP,blue,green
NX6IS,K7XEQ,green,green
JZ8U0,KRICQ,red,green
7386C,3FABK,red,green
89PG4,QUVEF,red,blue
HR6IT,382I1,blue,green
J2LJA,FJVAM,green,green
VIIYS,T9ALU,green,red
Z9ATV,3IG71,blue,red
VZS3Q,OZUXL,green,green
2L970,UHZ81,green,blue
5F4TY,EX4N8,red,green
V4ZBV,G7SJA,blue,green
YWQBI,0PTVR,green,red
2N10E,LD5WR,green,green
JER6M,JBLZD,blue,blue
R7SYL,93OKD,blue,red
TNB22,5KRDT,green,green
F83IQ,79KC4,blue,red
KDLRJ,4PXGE,red,red
CLE4I,FF32X,green,red
UEQIR,G2VZ2,blue,blue
VY1JU,FZPMI,blue,red
1CIPK,G0X6P,blue,blue
QPOVG,GUFW9,blue,red
1NOUK,ZJB2A,green,blue
USKRX,T6CJX,green,green
GWYS3,E1B4Z,green,red
QBZ6M,GW76F,green,blue
GK2R7,2CL3G,red,blue
MH391,CDOS5,blue,blue
QK1KY,K7XEQ,red,blue
OZUXL,51549,red,green
OYJ9Q,AL938,green,blue
8T9DT,EM1SW,green,blue
C0A83,2HDJA,blue,green
8P5QY,OY1UK,red,red
Y4KI8,0ETWX,blue,green
K9FQP,C1NHB,blue,blue
KTYE7,9DY3I,blue,green
S99XZ,1JXO7,green,blue
GWYS3,OY1UK,blue,red
053M8,K7XEQ,red,red
S30AR,U2P5F,red,blue
IPLBI,5KRDT,blue,blue
QPOVG,51549,red,blue
8B1MM,K9FQP,blue,blue
IWP8R,UCV8I,blue,red
X82DQ,UCFUW,green,red
FF32X,9K7IK,red,red
NYM29,UI19F,blue,blue
UK769,4BPDC,red,red
AVYMA,U8OEF,green,green
2ZV6W,1KVGA,red,green
6M0W3,02FV6,green,red
ZDMBU,8RLVC,green,blue
QQB30,YKLD6,green,red
QF2KG,S7U4A,red,red
8RLVC,ZJB2A,green,red
RILWN,MBTVY,green,green
U2R3W,KPSJG,green,green
20GPH,LYPHQ,green,red
O2SV0,IHLE7,green,blue
NX9EW,012KO,red,green
12KJ3,QIG7I,blue,red
URHVH,4J799,green,red
5KRDT,4RITS,blue,red
Z9ATV,RTLTL,red,blue
RZGG2,I3JPM,blue,green
UI5AL,29BMZ,green,blue
7EESK,S30AR,green,red
B3SXM,TE4W8,green,blue
5SH3V,421TT,green,blue
XP6I4,UD42W,red,blue
5AP0L,B45P3,red,red
5AP0L,PCDJ2,green,green
F989P,O7E9H,green,red
LEA39,869QV,blue,blue
NM9F5,7WJYZ,red,red
LRYSC,LCPB3,green,red
9RYVL,DOE2U,red,red
2N10E,6F92J,green,red
Y7PN9,V9KW7,blue,green
GPNCP,OWGFI,blue,red
3RJ6U,K7XEQ,green,green
NX9EW,JGR33,green,red
ZEOPT,T0TS3,red,blue
SO28D,VJOMK,green,green
KQA4E,0JK41,green,red
S99XZ,UCFUW,green,green
J8K06,3V26S,blue,blue
487C7,YH8DB,green,blue
AL938,ZXZK2,red,blue
YK10O,F7FTL,red,red
NBRBM,Q6YHQ,red,green
2VHC2,DZ1NO,blue,blue
8TQ7L,WNE53,red,red
PYHV8,1XVCU,blue,red
XVE9I,GDH3B,green,blue
GD0PN,KTYQL,green,green
22XG5,XX1OL,blue,green
5E9F4,0H2EG,red,blue
P4VAJ,IBEPX,blue,red
ZPO0S,VGCBK,green,red
UTTFN,GTEKY,green,green
B2WDK,HJRQR,blue,red
EMQYG,3YGHQ,green,blue
MRQ26,23NKK,red,red
F0CQJ,GF6KO,red,green
U8OEF,3IG71,green,green
LY9E1,240D9,green,red
8T9DT,DR6PG,blue,red
J26IB,94CZM,green,red
IOSYM,NBRBM,green,green
SBAA4,0VLNR,red,green
F989P,J2LJA,blue,red
FF32X,U2P5F,red,green
MPIQJ,XX0BU,red,green
G8HQG,W4ATV,blue,blue
ZUH32,7BMH8,green,green
MRQ26,04Z09,green,green
63TIL,1X23I,green,green
OXEV0,JUQPG,blue,red
JZF3M,1CZ0U,green,green
QXFUA,OYJ9Q,green,red
HML9W,F7FTL,green,green
ECZFS,MYFU1,blue,green
F83IQ,H2BUK,red,blue
UPSI5,UK2C1,blue,green
PA5OG,NCPB6,green,blue
GF6KO,AON59,blue,blue
6BEXO,AEJPJ,green,green
IP13G,HAQRL,red,red
TKJUR,MJHHB,green,red
0KNP9,8RLVC,red,red
1CIPK,XEE6Y,red,green
5JMHH,9Z1RL,red,red
1VQ20,6X6QR,green,green
T6CJX,KQA4E,green,green
6JX21,M5D88,green,green
GL1XX,0H2EG,red,blue
8312J,WM6RC,green,blue
DBJAC,PYI28,red,blue
P99SW,MH9A6,green,red
2TFGW,RILWN,green,red
U3VP9,22XG5,blue,red
0PQCE,X82DQ,blue,blue
ZEOPT,HSOOO,red,blue
7FA80,XX1OL,blue,red
SGORL,OZUXL,blue,green
3DHX9,LQXMH,blue,red
5B9WH,9GX2B,green,red
8B09U,7GMMP,green,red
CABJT,8R4HC,green,red
EBAKR,EE54R,red,red
ILLL9,2CL3G,blue,green
4J799,MT2P6,red,green
UVKYN,QQB30,green,green
3IG71,CIAV6,red,red
NJD6X,Y6XM9,blue,green
LD5WR,D50EY,green,red
P5YE1,UUQ5V,red,blue
B6HM5,BIV6N,green,blue
78GXV,HJRQR,red,red
RXY8J,XGDU6,green,green
ROGON,QRVCZ,red,blue
LP38C,X7ISR,blue,blue
1KVGA,1CZ0U,blue,red
MKTV8,9WBUE,blue,red
2GBYA,GD0PN,green,green
8A4NB,VCLW9,red,blue
CO1DP,D4VGA,green,green
AJUOX,4BHC6,red,blue
F5AJO,Z8XKE,red,green
B1Q6K,IG1YA,blue,blue
L0OVN,9GX2B,red,red
SR4CW,YWQBI,red,green
NTPZC,OQQCJ,blue,blue
L9KTE,2GND7,blue,green
ZK44L,RVF8H,blue,red
CIQ3Z,Y95IF,red,blue
E0I9F,F834S,green,red
V4ZBV,YK10O,blue,green
QMZ0E,3V26S,red,green
DQF3Y,1CZ0U,red,blue
GV88P,E1B4Z,green,blue
ZDMBU,I6V0A,blue,green
RZCIK,UJEXE,blue,red
LW3QV,J2OYQ,red,red
JBYFQ,JZ8U0,green,green
T9ALU,XWPUP,blue,red
IGQLA,REY4S,red,green
J2LJA,5AP0L,blue,green
V7ZQT,QCMCD,blue,blue
PA5OG,PRVWI,blue,green
